name,position,shirt_no
Manuel Neuer,Goalkeeper,1
Daniel Peretz,Goalkeeper,18
Sven Ulreich,Goalkeeper,26
Tom Hülsmann,Goalkeeper,42
Matthijs de Ligt,Centre-Back,4
Min-jae Kim,Centre-Back,3
Dayot Upamecano,Centre-Back,2
Eric Dier,Centre-Back,15
Tarek Buchmann,Centre-Back,28
Alphonso Davies,Left-Back,19
Raphaël Guerreiro,Left-Back,22
Noussair Mazraoui,Right-Back,40
Sacha Boey,Right-Back,23
Bouna Sarr,Right-Back,20
Joshua Kimmich,Defensive Midfield,6
Aleksandar Pavlovic,Defensive Midfield,45
Leon Goretzka,Central Midfield,8
Konrad Laimer,Central Midfield,27
Jamal Musiala,Attacking Midfield,42
Kingsley Coman,Left Winger,11
Mathys Tel,Left Winger,39
Bryan Zaragoza,Left Winger,17
Leroy Sané,Right Winger,10
Serge Gnabry,Right Winger,7
Thomas Müller,Second Striker,25
Harry Kane,Centre-Forward,9
Eric-Maxim Choupo-Moting,Centre-Forward,13
Matej Kovar,Goalkeeper,17
Lukas Hradecky,Goalkeeper,1
Niklas Lomb,Goalkeeper,36
Edmond Tapsoba,Centre-Back,12
Piero Hincapié,Centre-Back,3
Odilon Kossounou,Centre-Back,6
Jonathan Tah,Centre-Back,4
Josip Stanisic,Centre-Back,2
Madi Monamay,Centre-Back,31
Alejandro Grimaldo,Left-Back,20
Arthur,Right-Back,13
Timothy Fosu-Mensah,Right-Back,24
Granit Xhaka,Defensive Midfield,34
Robert Andrich,Defensive Midfield,8
Noah Mbamba,Defensive Midfield,18
Exequiel Palacios,Central Midfield,25
Gustavo Puerta,Central Midfield,32
Jeremie Frimpong,Right Midfield,30
Florian Wirtz,Attacking Midfield,10
Jonas Hofmann,Attacking Midfield,7
Ayman Aourir,Attacking Midfield,47
Amine Adli,Left Winger,21
Nathan Tella,Right Winger,19
Victor Boniface,Centre-Forward,22
Patrik Schick,Centre-Forward,14
Adam Hlozek,Centre-Forward,23
Borja Iglesias,Centre-Forward,9
Péter Gulácsi,Goalkeeper,1
Janis Blaswich,Goalkeeper,21
Timo Schlieck,Goalkeeper,36
Leopold Zingerle,Goalkeeper,25
Castello Lukeba,Centre-Back,23
Mohamed Simakan,Centre-Back,2
El Chadaille Bitshiabu,Centre-Back,5
Willi Orbán,Centre-Back,4
Lukas Klostermann,Centre-Back,16
Tim Köhler,Centre-Back,31
David Raum,Left-Back,22
Christopher Lenz,Left-Back,3
Benjamin Henrichs,Right-Back,39
Xaver Schlager,Central Midfield,24
Amadou Haidara,Central Midfield,8
Nicolas Seiwald,Central Midfield,13
Kevin Kampl,Central Midfield,44
Xavi Simons,Attacking Midfield,20
Dani Olmo,Attacking Midfield,7
Eljif Elmas,Attacking Midfield,6
Christoph Baumgartner,Attacking Midfield,14
Loïs Openda,Centre-Forward,17
Benjamin Sesko,Centre-Forward,30
Yussuf Poulsen,Centre-Forward,9
Gregor Kobel,Goalkeeper,1
Marcel Lotka,Goalkeeper,35
Alexander Meyer,Goalkeeper,33
Nico Schlotterbeck,Centre-Back,4
Niklas Süle,Centre-Back,25
Mats Hummels,Centre-Back,15
Antonios Papadopoulos,Centre-Back,47
Ian Maatsen,Left-Back,22
Ramy Bensebaini,Left-Back,5
Julian Ryerson,Right-Back,26
Marius Wolf,Right-Back,17
Mateu Morey,Right-Back,2
Salih Özcan,Defensive Midfield,6
Emre Can,Defensive Midfield,23
Abdoulaye Kamara,Defensive Midfield,32
Felix Nmecha,Central Midfield,8
Marcel Sabitzer,Central Midfield,20
Ole Pohlmann,Central Midfield,30
Julian Brandt,Attacking Midfield,19
Marco Reus,Attacking Midfield,11
Karim Adeyemi,Left Winger,27
Jamie Bynoe-Gittens,Left Winger,43
Jadon Sancho,Left Winger,10
Donyell Malen,Right Winger,21
Julien Duranville,Right Winger,16
Youssoufa Moukoko,Centre-Forward,18
Niclas Füllkrug,Centre-Forward,14
Sébastien Haller,Centre-Forward,9
Alexander Nübel,Goalkeeper,33
Fabian Bredlow,Goalkeeper,1
Dennis Seimen,Goalkeeper,41
Florian Schock,Goalkeeper,42
Hiroki Ito,Centre-Back,21
Waldemar Anton,Centre-Back,2
Dan-Axel Zagadou,Centre-Back,23
Anthony Rouault,Centre-Back,29
Leonidas Stergiou,Centre-Back,20
Maximilian Mittelstädt,Left-Back,7
Josha Vagnoman,Right-Back,4
Pascal Stenzel,Right-Back,15
Angelo Stiller,Defensive Midfield,6
Atakan Karazor,Defensive Midfield,16
Mahmoud Dahoud,Central Midfield,5
Nikolas Nartey,Central Midfield,28
Roberto Massimo,Right Midfield,32
