name,position,shirt_no
Thibaut Courtois,Goalkeeper,1
Andriy Lunin,Goalkeeper,13
Kepa Arrizabalaga,Goalkeeper,25
Éder Militão,Centre-Back,3
David Alaba,Centre-Back,4
Antonio Rüdiger,Centre-Back,22
Nacho Fernández,Centre-Back,6
Ferland Mendy,Left-Back,23
Fran García,Left-Back,20
Daniel Carvajal,Right-Back,2
Lucas Vázquez,Right-Back,17
Aurélien Tchouaméni,Defensive Midfield,18
Federico Valverde,Central Midfield,15
Eduardo Camavinga,Central Midfield,12
Toni Kroos,Central Midfield,8
Luka Modric,Central Midfield,10
Dani Ceballos,Central Midfield,19
Jude Bellingham,Attacking Midfield,5
Brahim Díaz,Attacking Midfield,21
Arda Güler,Attacking Midfield,24
Nico Paz,Attacking Midfield,32
Vinicius Junior,Left Winger,7
Rodrygo,Right Winger,11
Joselu,Centre-Forward,14
Marc-André ter Stegen,Goalkeeper,1
Iñaki Peña,Goalkeeper,13
Ander Astralaga,Goalkeeper,26
Ronald Araujo,Centre-Back,4
Jules Koundé,Centre-Back,23
Andreas Christensen,Centre-Back,15
Pau Cubarsí,Centre-Back,33
Iñigo Martínez,Centre-Back,5
Alejandro Balde,Left-Back,3
Marcos Alonso,Left-Back,17
João Cancelo,Right-Back,2
Héctor Fort,Right-Back,39
Oriol Romeu,Defensive Midfield,18
Gavi,Central Midfield,6
Pedri,Central Midfield,8
Frenkie de Jong,Central Midfield,21
İlkay Gündoğan,Central Midfield,22
Fermín López,Central Midfield,16
Sergi Roberto,Central Midfield,20
Ferran Torres,Left Winger,7
João Félix,Left Winger,14
Lamine Yamal,Right Winger,27
Raphinha,Right Winger,11
Vitor Roque,Centre-Forward,19
Robert Lewandowski,Centre-Forward,9
Marc Guiu,Centre-Forward,38
Álex Remiro,Goalkeeper,1
Unai Marrero,Goalkeeper,13
Robin Le Normand,Centre-Back,24
Igor Zubeldia,Centre-Back,5
Aritz Elustondo,Centre-Back,6
Jon Pacheco,Centre-Back,20
Kieran Tierney,Left-Back,17
Aihen Muñoz,Left-Back,3
Javi Galán,Left-Back,25
Hamari Traoré,Right-Back,18
Álvaro Odriozola,Right-Back,2
Jon Aramburu,Right-Back,39
Martín Zubimendi,Defensive Midfield,4
Urko González de Zarate,Defensive Midfield,15
Mikel Merino,Central Midfield,8
Beñat Turrientes,Central Midfield,22
Jon Ander Olasagasti,Central Midfield,16
Brais Méndez,Attacking Midfield,23
Arsen Zakharyan,Attacking Midfield,12
Jon Magunazelaia,Attacking Midfield,28
Mikel Oyarzabal,Left Winger,10
Ander Barrenetxea,Left Winger,7
Martín Merquelanz,Left Winger,-
Takefusa Kubo,Right Winger,14
Umar Sadiq,Centre-Forward,19
Sheraldo Becker,Centre-Forward,11
André Silva,Centre-Forward,21
Carlos Fernández,Centre-Forward,9
Jan Oblak,Goalkeeper,13
Horaţiu Moldovan,Goalkeeper,1
José María Giménez,Centre-Back,2
Mario Hermoso,Centre-Back,22
Axel Witsel,Centre-Back,20
Stefan Savic,Centre-Back,15
Gabriel Paulista,Centre-Back,4
Reinildo Mandava,Left-Back,23
Nahuel Molina,Right-Back,16
César Azpilicueta,Right-Back,3
Rodrigo de Paul,Central Midfield,5
Marcos Llorente,Central Midfield,14
Arthur Vermeeren,Central Midfield,18
Pablo Barrios,Central Midfield,24
Koke,Central Midfield,6
Saúl Ñíguez,Central Midfield,8
Thomas Lemar,Attacking Midfield,11
Samuel Lino,Left Winger,12
Rodrigo Riquelme,Left Winger,17
Marcos Paulo,Left Winger,-
Vitolo,Left Winger,-
Ángel Correa,Right Winger,10
Antoine Griezmann,Centre-Forward,7
Álvaro Morata,Centre-Forward,19
Memphis Depay,Centre-Forward,9
Unai Simón,Goalkeeper,1
Julen Agirrezabala,Goalkeeper,13
Dani Vivian,Centre-Back,3
Aitor Paredes,Centre-Back,4
Yeray Álvarez,Centre-Back,5
Yuri Berchiche,Left-Back,17
Imanol García de Albéniz,Left-Back,19
Iñigo Lekue,Right-Back,15
Óscar de Marcos,Right-Back,18
Mikel Vesga,Defensive Midfield,6
Beñat Prados,Central Midfield,24
Iñigo Ruiz de Galarreta,Central Midfield,16
Ander Herrera,Central Midfield,21
Dani García,Central Midfield,14
Mikel Jauregizar,Central Midfield,31
Oihan Sancet,Attacking Midfield,8
Iker Muniain,Attacking Midfield,10
Unai Gómez,Attacking Midfield,30
Nico Williams,Left Winger,11
Álex Berenguer,Left Winger,7
Adu Ares,Left Winger,23
Iñaki Williams,Right Winger,9
Gorka Guruzeta,Centre-Forward,12
Asier Villalibre,Centre-Forward,20
