name,position,shirt_no
Gianluigi Donnarumma,Goalkeeper,99
Arnau Tenas,Goalkeeper,80
Keylor Navas,Goalkeeper,1
Sergio Rico,Goalkeeper,16
Alexandre Letellier,Goalkeeper,30
Marquinhos,Centre-Back,5
Milan Skriniar,Centre-Back,37
Lucas Beraldo,Centre-Back,35
Presnel Kimpembe,Centre-Back,3
Nuno Mendes,Left-Back,25
Lucas Hernández,Left-Back,21
Layvin Kurzawa,Left-Back,97
Achraf Hakimi,Right-Back,2
Nordi Mukiele,Right-Back,26
Manuel Ugarte,Defensive Midfield,4
Danilo Pereira,Defensive Midfield,15
Warren Zaïre-Emery,Central Midfield,33
Vitinha,Central Midfield,17
Fabián Ruiz,Central Midfield,8
Carlos Soler,Central Midfield,28
Ethan Mbappé,Central Midfield,38
Kang-in Lee,Attacking Midfield,19
Senny Mayulu,Attacking Midfield,41
Bradley Barcola,Left Winger,29
Ousmane Dembélé,Right Winger,10
Marco Asensio,Right Winger,11
Kylian Mbappé,Centre-Forward,7
Randal Kolo Muani,Centre-Forward,23
Gonçalo Ramos,Centre-Forward,9
Philipp Köhn,Goalkeeper,16
Radoslaw Majecki,Goalkeeper,1
Yann Lienard,Goalkeeper,50
Mohammed Salisu,Centre-Back,22
Guillermo Maripán,Centre-Back,3
Soungoutou Magassa,Centre-Back,88
Thilo Kehrer,Centre-Back,5
Caio Henrique,Left-Back,12
Ismail Jakobs,Left-Back,14
Kassoum Ouattara,Left-Back,20
Vanderson,Right-Back,2
Wilfried Singo,Right-Back,99
Mohamed Camara,Defensive Midfield,4
Denis Zakaria,Defensive Midfield,6
Youssouf Fofana,Central Midfield,19
Edan Diop,Central Midfield,37
Aleksandr Golovin,Attacking Midfield,17
Eliesse Ben Seghir,Attacking Midfield,7
Maghnes Akliouche,Attacking Midfield,21
Takumi Minamino,Left Winger,18
Krépin Diatta,Right Winger,27
Folarin Balogun,Centre-Forward,29
Breel Embolo,Centre-Forward,36
Wissam Ben Yedder,Centre-Forward,10
Gauthier Gallon,Goalkeeper,1
Steve Mandanda,Goalkeeper,30
Geoffrey Lembet,Goalkeeper,40
Arthur Theate,Centre-Back,5
Jeanuël Belocian,Centre-Back,16
Alidu Seidu,Centre-Back,36
Warmed Omari,Centre-Back,23
Christopher Wooh,Centre-Back,4
Adrien Truffert,Left-Back,3
Mahamadou Nagida,Left-Back,43
Guéla Doué,Right-Back,17
Azor Matusiwa,Defensive Midfield,6
Baptiste Santamaria,Defensive Midfield,8
Benjamin Bourigeaud,Central Midfield,14
Enzo Le Fée,Attacking Midfield,28
Désiré Doué,Attacking Midfield,33
Ludovic Blas,Attacking Midfield,11
Fabian Rieder,Attacking Midfield,32
Amine Gouiri,Left Winger,10
Martin Terrier,Left Winger,7
Ibrahim Salah,Left Winger,34
Arnaud Kalimuendo,Centre-Forward,9
Bertuğ Yıldırım,Centre-Forward,99
Mathis Lambourde,Centre-Forward,39
Marcin Bulka,Goalkeeper,1
Maxime Dupé,Goalkeeper,31
Teddy Boulhendi,Goalkeeper,77
Jean-Clair Todibo,Centre-Back,6
Dante,Centre-Back,4
Amidou Doumbouya,Centre-Back,44
Yannis Nahounou,Centre-Back,34
Melvin Bard,Left-Back,26
Romain Perraud,Left-Back,15
Jordan Lotomba,Right-Back,23
Valentin Rosier,Right-Back,2
Antoine Mendy,Right-Back,33
Youssouf Ndayishimiye,Defensive Midfield,55
Pablo Rosario,Defensive Midfield,8
Alexis Beka Beka,Defensive Midfield,21
Khéphren Thuram,Central Midfield,19
Hicham Boudaoui,Central Midfield,28
Morgan Sanson,Central Midfield,11
Tom Louchet,Central Midfield,32
Daouda Traoré,Central Midfield,39
Alexis Claude-Maurice,Attacking Midfield,18
Jérémie Boga,Left Winger,7
Sofiane Diop,Left Winger,10
Mohamed-Ali Cho,Left Winger,25
Aliou Baldé,Left Winger,27
Terem Moffi,Centre-Forward,9
Gaëtan Laborde,Centre-Forward,24
Evann Guessand,Centre-Forward,29
Lucas Chevalier,Goalkeeper,30
Vito Mannone,Goalkeeper,1
