name,position,shirt_no
Emil Audero,Goalkeeper,77
Yann Sommer,Goalkeeper,1
Raffaele Di Gennaro,Goalkeeper,12
Alessandro Bastoni,Centre-Back,95
Benjamin Pavard,Centre-Back,28
Yann Bisseck,Centre-Back,31
Stefan de Vrij,Centre-Back,6
Francesco Acerbi,Centre-Back,15
Federico Dimarco,Left-Back,32
Matteo Darmian,Right-Back,36
Hakan Çalhanoğlu,Defensive Midfield,20
Kristjan Asllani,Defensive Midfield,21
Nicolò Barella,Central Midfield,23
Davide Frattesi,Central Midfield,16
Henrikh Mkhitaryan,Central Midfield,22
Davy Klaassen,Central Midfield,14
Stefano Sensi,Central Midfield,5
Denzel Dumfries,Right Midfield,2
Tajon Buchanan,Right Midfield,17
Juan Cuadrado,Right Midfield,7
Carlos Augusto,Left Midfield,30
Lautaro Martínez,Centre-Forward,10
Marcus Thuram,Centre-Forward,9
Marko Arnautovic,Centre-Forward,8
Alexis Sánchez,Centre-Forward,70
Mike Maignan,Goalkeeper,16
Marco Sportiello,Goalkeeper,57
Lapo Nava,Goalkeeper,69
Antonio Mirante,Goalkeeper,83
Fikayo Tomori,Centre-Back,23
Malick Thiaw,Centre-Back,28
Pierre Kalulu,Centre-Back,20
Matteo Gabbia,Centre-Back,46
Simon Kjaer,Centre-Back,24
Mattia Caldara,Centre-Back,30
Theo Hernández,Left-Back,19
Davide Calabria,Right-Back,2
Filippo Terracciano,Right-Back,38
Alessandro Florenzi,Right-Back,42
Ismaël Bennacer,Defensive Midfield,4
Yacine Adli,Defensive Midfield,7
Ruben Loftus-Cheek,Central Midfield,8
Tijjani Reijnders,Central Midfield,14
Yunus Musah,Central Midfield,80
Tommaso Pobega,Central Midfield,32
Rafael Leão,Left Winger,10
Christian Pulisic,Right Winger,11
Samuel Chukwueze,Right Winger,21
Noah Okafor,Centre-Forward,17
Luka Jović,Centre-Forward,15
Olivier Giroud,Centre-Forward,9
Alex Meret,Goalkeeper,1
Pierluigi Gollini,Goalkeeper,95
Nikita Contini,Goalkeeper,14
Hubert Idasiak,Goalkeeper,16
Amir Rrahmani,Centre-Back,13
Natan,Centre-Back,3
Leo Østigård,Centre-Back,55
Juan Jesus,Centre-Back,5
Mathías Olivera,Left-Back,17
Mário Rui,Left-Back,6
Giovanni Di Lorenzo,Right-Back,22
Pasquale Mazzocchi,Right-Back,30
Stanislav Lobotka,Defensive Midfield,68
Leander Dendoncker,Defensive Midfield,32
Diego Demme,Defensive Midfield,4
Frank Anguissa,Central Midfield,99
Piotr Zieliński,Central Midfield,20
Jens Cajuste,Central Midfield,24
Jesper Lindstrøm,Attacking Midfield,29
Hamed Junior Traorè,Attacking Midfield,8
Khvicha Kvaratskhelia,Left Winger,77
Matteo Politano,Right Winger,21
Cyril Ngonge,Right Winger,26
Giacomo Raspadori,Second Striker,81
Victor Osimhen,Centre-Forward,9
Giovanni Simeone,Centre-Forward,18
Wojciech Szczęsny,Goalkeeper,1
Mattia Perin,Goalkeeper,36
Carlo Pinsoglio,Goalkeeper,23
Bremer,Centre-Back,3
Federico Gatti,Centre-Back,4
Tiago Djaló,Centre-Back,33
Danilo,Centre-Back,6
Daniele Rugani,Centre-Back,24
Andrea Cambiaso,Left-Back,27
Alex Sandro,Left-Back,12
Mattia De Sciglio,Right-Back,2
Manuel Locatelli,Defensive Midfield,5
Adrien Rabiot,Central Midfield,25
Weston McKennie,Central Midfield,16
Fabio Miretti,Central Midfield,20
Nicolò Fagioli,Central Midfield,21
Carlos Alcaraz,Central Midfield,26
Hans Nicolussi Caviglia,Central Midfield,41
Paul Pogba,Central Midfield,10
Timothy Weah,Right Midfield,22
Filip Kostić,Left Midfield,11
Federico Chiesa,Left Winger,7
Samuel Iling-Junior,Left Winger,17
Kenan Yıldız,Second Striker,15
Dušan Vlahović,Centre-Forward,9
Moise Kean,Centre-Forward,18
Arkadiusz Milik,Centre-Forward,14
Marco Carnesecchi,Goalkeeper,29
Juan Musso,Goalkeeper,1
Francesco Rossi,Goalkeeper,31
Giorgio Scalvini,Centre-Back,42
Berat Djimsiti,Centre-Back,19
Isak Hien,Centre-Back,4
Sead Kolasinac,Centre-Back,23
Rafael Tolói,Centre-Back,2
José Luis Palomino,Centre-Back,6
Giovanni Bonfanti,Centre-Back,43
Marten de Roon,Defensive Midfield,15
Éderson,Central Midfield,13
Mario Pasalic,Central Midfield,8
Michel Adopo,Central Midfield,25
Emil Holm,Right Midfield,3
Davide Zappacosta,Right Midfield,77
Hans Hateboer,Right Midfield,33
Matteo Ruggeri,Left Midfield,22
Mitchel Bakker,Left Midfield,20
Teun Koopmeiners,Attacking Midfield,7
Charles De Ketelaere,Attacking Midfield,17
Aleksey Miranchuk,Attacking Midfield,59
Ademola Lookman,Second Striker,11
Gianluca Scamacca,Centre-Forward,90
El Bilal Touré,Centre-Forward,10
Mile Svilar,Goalkeeper,99
Rui Patrício,Goalkeeper,1
Pietro Boer,Goalkeeper,63
Evan Ndicka,Centre-Back,5
Gianluca Mancini,Centre-Back,23
Dean Huijsen,Centre-Back,3
Diego Llorente,Centre-Back,14
Chris Smalling,Centre-Back,6
Angeliño,Left-Back,69
Leonardo Spinazzola,Left-Back,37
Rasmus Kristensen,Right-Back,43
Rick Karsdorp,Right-Back,2
Zeki Çelik,Right-Back,19
Bryan Cristante,Defensive Midfield,4
Leandro Paredes,Defensive Midfield,16
Edoardo Bove,Central Midfield,52
Houssem Aouar,Central Midfield,22
Renato Sanches,Central Midfield,20
Nicola Zalewski,Left Midfield,59
Lorenzo Pellegrini,Attacking Midfield,7
Tommaso Baldanzi,Attacking Midfield,35
Stephan El Shaarawy,Left Winger,92
Paulo Dybala,Second Striker,21
Tammy Abraham,Centre-Forward,9
Romelu Lukaku,Centre-Forward,90
Sardar Azmoun,Centre-Forward,17
Lukasz Skorupski,Goalkeeper,28
Federico Ravaglia,Goalkeeper,34
Nicola Bagnolini,Goalkeeper,23
Riccardo Calafiori,Centre-Back,33
Sam Beukema,Centre-Back,31
Jhon Lucumí,Centre-Back,26
Mihajlo Ilić,Centre-Back,4
Adama Soumaoro,Centre-Back,5
Victor Kristiansen,Left-Back,15
Tommaso Corazza,Left-Back,16
Charalampos Lykogiannis,Left-Back,22
Stefan Posch,Right-Back,3
Lorenzo De Silvestri,Right-Back,29
Nikola Moro,Defensive Midfield,6
Oussama El Azzouzi,Defensive Midfield,17
Giovanni Fabbian,Central Midfield,80
Remo Freuler,Central Midfield,8
Michel Aebischer,Central Midfield,20
Kacper Urbanski,Central Midfield,82
Lewis Ferguson,Attacking Midfield,19
Jesper Karlsson,Left Winger,10
Riccardo Orsolini,Right Winger,7
Dan Ndoye,Right Winger,11
Alexis Saelemaekers,Right Winger,56
Jens Odgaard,Right Winger,21
Joshua Zirkzee,Centre-Forward,9
Santiago Castro,Centre-Forward,18
Oliver Christensen,Goalkeeper,53
Pietro Terracciano,Goalkeeper,1
Tommaso Martinelli,Goalkeeper,30
Tommaso Vannucchi,Goalkeeper,40
Nikola Milenković,Centre-Back,4
Lucas Martínez Quarta,Centre-Back,28
Luca Ranieri,Centre-Back,16
Pietro Comuzzo,Centre-Back,37
Fabiano Parisi,Left-Back,65
Cristiano Biraghi,Left-Back,3
Dodô,Right-Back,2
Michael Kayode,Right-Back,33
Davide Faraoni,Right-Back,22
Arthur Melo,Defensive Midfield,6
Maxime López,Defensive Midfield,8
Rolando Mandragora,Defensive Midfield,38
Gaetano Castrovilli,Central Midfield,17
Alfred Duncan,Central Midfield,32
Giacomo Bonaventura,Central Midfield,5
Gino Infantino,Central Midfield,19
Antonín Barák,Attacking Midfield,72
Christian Kouamé,Left Winger,99
Riccardo Sottil,Left Winger,7
Nicolás González,Right Winger,10
Jonathan Ikoné,Right Winger,11
Lucas Beltrán,Centre-Forward,9
M'Bala Nzola,Centre-Forward,18
Andrea Belotti,Centre-Forward,20
Ivan Provedel,Goalkeeper,94
Christos Mandas,Goalkeeper,35
Luigi Sepe,Goalkeeper,33
Alessio Romagnoli,Centre-Back,13
Nicolò Casale,Centre-Back,15
Mario Gila,Centre-Back,34
Patric,Centre-Back,4
Luca Pellegrini,Left-Back,3
Adam Marusic,Right-Back,77
Elseid Hysaj,Right-Back,23
Nicolò Rovella,Defensive Midfield,65
Danilo Cataldi,Defensive Midfield,32
Mattéo Guendouzi,Central Midfield,8
Luis Alberto,Central Midfield,10
Matías Vecino,Central Midfield,5
Manuel Lazzari,Right Midfield,29
Daichi Kamada,Attacking Midfield,6
André Anderson,Attacking Midfield,28
Mattia Zaccagni,Left Winger,20
Diego González,Left Winger,22
Saná Fernandes,Left Winger,70
Gustav Isaksen,Right Winger,18
Felipe Anderson,Right Winger,7
Pedro,Right Winger,9
Cristiano Lombardi,Right Winger,87
Taty Castellanos,Centre-Forward,19
Ciro Immobile,Centre-Forward,17
Vanja Milinković-Savić,Goalkeeper,32
Mihai Popa,Goalkeeper,71
Luca Gemello,Goalkeeper,1
Pietro Passador,Goalkeeper,65
Alessandro Buongiorno,Centre-Back,4
Perr Schuurs,Centre-Back,3
Matteo Lovato,Centre-Back,6
Ricardo Rodríguez,Centre-Back,13
Saba Sazonov,Centre-Back,15
Koffi Djidji,Centre-Back,26
Adam Masina,Left-Back,5
Samuele Ricci,Defensive Midfield,28
Adrien Tamèze,Defensive Midfield,61
Ivan Ilić,Central Midfield,8
Karol Linetty,Central Midfield,77
Gvidas Gineitis,Central Midfield,66
Raoul Bellanova,Right Midfield,19
Valentino Lazaro,Left Midfield,20
Mërgim Vojvoda,Left Midfield,27
Nikola Vlasic,Attacking Midfield,16
Uros Kabic,Right Winger,17
Antonio Sanabria,Centre-Forward,9
Duván Zapata,Centre-Forward,91
Pietro Pellegri,Centre-Forward,11
David Okereke,Centre-Forward,21
Alessio Cragno,Goalkeeper,28
Andrea Consigli,Goalkeeper,47
Gianluca Pegolo,Goalkeeper,25
Marash Kumbulla,Centre-Back,19
Mattia Viti,Centre-Back,21
Martin Erlić,Centre-Back,5
Ruan Tressoldi,Centre-Back,44
Gian Marco Ferrari,Centre-Back,13
Josh Doig,Left-Back,43
